X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,day_mon,day_sat,day_sun,day_thu,day_tue,day_wed,log_area
7,5,-0.805959472,-1.323325569,-1.830476763,-0.860945568,-1.842640147,0.411724347,1.498614417,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,4,-0.008102034,-1.179540772,0.488890915,-0.509688269,-0.153278265,-0.69245628,-1.741755637,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7,4,-0.008102034,-1.04982188,0.560715454,-0.509688269,-0.739383408,-0.69245628,-1.51828184,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
8,6,0.191362326,-1.212361215,-1.898266215,-0.004755902,-1.82540176,3.233519283,-0.009833712,0.603155191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,6,-0.243832641,-0.931043135,-1.79859958,0.126965586,-1.291011777,3.35620602,-1.238939594,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,6,0.300161067,-0.399664539,-0.241863237,1.246598226,0.57073397,-0.937829753,0.772324577,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,6,0.300161067,-0.343400923,-0.21119658,-0.114523807,0.898263315,-1.060516489,-0.512649754,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,6,0.155096078,0.539625272,0.243154152,0.368454979,-1.87711692,2.558742233,-1.015465797,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,6,0.06443046,0.291127635,0.583715446,-0.443827525,-0.997959206,1.147844765,0.772324577,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7,5,0.336427315,-0.357466827,0.607925965,-0.421873944,0.674164289,-0.263052703,-0.009833712,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7,5,0.336427315,-0.357466827,0.607925965,-0.421873944,-0.187755038,0.411724347,1.777956663,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
7,5,0.390826685,-0.588772804,0.66603121,2.980931139,0.07082076,-0.385739439,-0.009833712,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6,5,-4.92217853,-0.626281882,0.473557587,-1.804949559,-0.32566213,1.699935079,1.498614417,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0.046297337,0.244241288,0.559101419,-0.443827525,0.415588491,-0.140365966,-1.015465797,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6,5,0.408959809,0.350517007,0.611961051,0.039151261,1.294746205,-1.428576698,0.269508534,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,5,0.481492303,0.473984387,0.669662787,1.070969576,0.691402676,-0.01767923,0.772324577,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,0.191362326,-1.173289259,-1.88495043,-0.268198876,-0.653191475,-1.060516489,0.772324577,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
8,5,-1.041690079,-1.220175606,0.469118992,-1.321970773,-0.37737729,0.166350875,0.492982331,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
6,4,-0.261965764,-1.296756639,-1.925301294,-0.597502594,-0.515284382,-0.569769543,-0.009833712,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6,4,-0.787826349,-1.30457103,-1.819178521,-0.860945568,-1.653017895,-0.01767923,0.269508534,-0.07326831,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,4,0.06443046,0.291127635,0.583715446,-0.443827525,-0.101563105,-0.263052703,-0.736123551,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5,4,0.209495449,-0.505940259,0.711627686,0.039151261,0.036343987,-0.385739439,-0.736123551,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7,4,0.662823539,-0.227747935,-1.403968128,10.33538084,0.363873332,-0.01767923,0.269508534,-0.07326831,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7,4,-0.080634528,0.000432285,-0.042529967,-0.619456175,0.105297533,-0.079022598,0.995798374,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,4,0.517758551,0.445852579,0.186662942,2.475998772,0.829309768,-0.753799648,0.995798374,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,4,0.136962955,0.492738925,0.215715564,0.346501397,-0.446330836,0.963814661,0.772324577,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,4,0.318294191,0.109833761,0.48445232,0.697758696,0.019105601,-0.631112912,0.995798374,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,4,0.046297337,0.244241288,0.559101419,-0.443827525,0.088059147,0.227694243,-1.51828184,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6,3,0.499625427,0.539625272,0.699925936,-0.202338132,1.949804894,-1.244546593,-0.736123551,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6,3,0.517758551,0.600577523,0.728978558,-0.202338132,0.674164289,-0.324396071,-0.233307508,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,3,0.662823539,-0.402790296,0.582504921,1.5100412,1.12236234,-1.244546593,-0.233307508,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,3,-0.370764506,-0.298077455,0.653522442,-0.421873944,-1.32548855,2.067995288,2.00143046,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6,3,-0.370764506,-0.643473542,0.641013674,-0.707270499,0.294919785,-0.447082807,-1.238939594,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,3,0.191362326,-0.551263727,0.687417168,-0.268198876,-0.204993425,-0.324396071,-0.233307508,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,3,0.209495449,-0.505940259,0.711627686,0.039151261,0.398350105,-0.753799648,-0.736123551,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6,3,-0.062501405,-0.471556938,0.735434696,-0.597502594,-0.118801492,1.086501397,0.269508534,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6,3,-0.008102034,-1.179540772,0.488890915,-0.509688269,0.484542037,-1.244546593,0.269508534,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7,4,-0.116900776,-1.084205201,0.543364582,-0.070616645,-1.308250164,0.963814661,0.772324577,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,3,-0.008102034,-1.04982188,0.560715454,-0.509688269,-0.187755038,-1.060516489,-0.009833712,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4,4,-0.461430124,-1.33113996,-1.938213571,-1.146342123,-0.82557534,-0.079022598,-0.736123551,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,4,-2.020878754,-0.78569546,-0.73131922,-1.65127449,0.760356222,-0.447082807,-0.512649754,-0.07326831,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,4,-0.080634528,-0.218370666,0.307715535,-0.026709483,-0.084324719,-0.140365966,1.498614417,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,4,0.753489157,-0.040202548,0.400119014,1.751530593,-0.394615677,0.595754452,0.772324577,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,4,0.336427315,-0.357466827,0.607925965,-0.421873944,0.12253592,0.227694243,-0.736123551,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
4,4,-0.098767652,-0.437173617,0.757627671,-0.619456175,-1.032435979,1.822621815,0.492982331,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5,6,0.662823539,-0.402790296,0.582504921,1.5100412,1.208554272,-1.244546593,-0.009833712,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5,6,0.046297337,0.244241288,0.559101419,-0.443827525,-0.722145021,1.577248343,-0.233307508,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6,6,0.644690416,-0.759126531,-0.423845634,0.434315722,0.708641063,-0.508426175,-0.512649754,-0.07326831,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,-0.624628236,-1.359271768,-1.949915321,-1.08048138,-1.222058231,-0.569769543,-1.238939594,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4,4,-0.552095742,-0.916977231,-1.792143442,-0.882899149,-1.359965323,0.105007506,0.995798374,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4,4,0.408959809,0.408343501,0.639399639,0.039151261,0.329396558,-1.673950171,-1.51828184,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4,3,-0.080634528,-0.176172954,0.33596114,-0.597502594,0.450065264,-0.631112912,-1.015465797,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,3,0.26389482,0.00512092,0.428364619,0.126965586,0.260443012,-0.140365966,0.492982331,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,3,0.26389482,0.00512092,0.428364619,0.126965586,0.260443012,-0.140365966,0.492982331,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,3,0.191362326,0.053570145,0.457417241,-0.597502594,-0.222231811,0.043664138,-0.233307508,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,3,0.408959809,0.408343501,0.639399639,0.039151261,1.51884523,-1.244546593,-1.015465797,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4,3,-0.062501405,-0.471556938,0.735434696,-0.597502594,-0.187755038,1.147844765,0.492982331,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4,3,0.354560438,-1.00606129,0.580487377,-0.048663064,-0.8772905,0.350380979,-0.736123551,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,2,-1.204888192,-1.587451988,-2.073792475,-1.519553003,-0.860052113,-0.263052703,0.772324577,-0.07326831,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,-0.733426978,-1.526499738,-2.037476697,-0.817038405,-1.135866298,0.411724347,-1.741755637,-0.07326831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,-0.243832641,-0.931043135,-1.79859958,0.126965586,-1.273773391,-0.324396071,0.995798374,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,2,-0.243832641,-0.931043135,-1.79859958,0.126965586,-2.308076584,0.902471293,1.27514062,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,2,0.427092933,-0.555952362,-0.328214086,-0.290152457,-0.015371173,-0.569769543,0.492982331,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,-0.080634528,-0.176172954,0.33596114,-0.597502594,0.329396558,-0.69245628,-0.736123551,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,0.082563584,-0.119909338,0.366627797,-0.707270499,0.725879449,-0.815143016,-0.512649754,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,0.191362326,0.053570145,0.457417241,-0.597502594,-0.049847946,-0.01767923,0.269508534,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,0.318294191,0.109833761,0.48445232,0.697758696,0.708641063,-0.447082807,0.269508534,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,0.318294191,0.109833761,0.48445232,0.697758696,0.12253592,-0.69245628,0.772324577,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,0.318294191,0.109833761,0.48445232,0.697758696,0.12253592,-0.69245628,1.27514062,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,5,0.191362326,-1.212361215,-1.898266215,-0.004755902,-0.291185357,-1.121859857,0.269508534,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,0.100696708,-0.977929482,-1.81635396,0.76361944,-0.532522769,-1.060516489,2.00143046,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,0.662823539,-0.402790296,0.582504921,1.5100412,-0.204993425,-0.447082807,-0.233307508,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,4,0.191362326,-1.212361215,-1.898266215,-0.004755902,-0.566999542,-1.183203225,1.27514062,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,4,-0.334498259,0.569319958,0.268575197,-0.004755902,-0.273946971,-0.079022598,0.269508534,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,4,0.481492303,0.473984387,0.669662787,1.070969576,1.501606844,-0.876486384,-1.51828184,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,9,-1.168621945,-1.626523944,-2.103652114,-0.290152457,-2.101215945,2.129338656,-0.512649754,-0.07326831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,9,-0.733426978,-1.526499738,-2.037476697,-0.817038405,-0.549761156,-0.079022598,-0.512649754,-0.07326831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-0.552095742,-0.916977231,-1.792143442,-0.882899149,-1.82540176,1.699935079,-0.512649754,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,2,-0.098767652,-0.044891183,-0.073196624,0.76361944,-0.722145021,1.33187487,-0.736123551,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0.06443046,0.161408742,0.055119125,-0.443827525,0.467303651,-1.551263434,1.498614417,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0.136962955,0.492738925,0.215715564,0.346501397,0.105297533,-0.324396071,1.27514062,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,-0.080634528,-0.176172954,0.33596114,-0.597502594,-0.170516651,-0.01767923,-1.015465797,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,0.753489157,-0.040202548,0.400119014,1.751530593,-0.049847946,0.411724347,0.269508534,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0.26389482,0.00512092,0.428364619,0.126965586,-0.394615677,0.166350875,-1.741755637,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,0.191362326,0.053570145,0.457417241,-0.597502594,0.225966239,0.043664138,-0.233307508,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,0.408959809,0.408343501,0.639399639,0.039151261,0.450065264,-1.796636907,-1.741755637,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,2,0.408959809,0.408343501,0.639399639,0.039151261,1.12236234,-1.060516489,-1.015465797,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,2,0.408959809,0.408343501,0.639399639,0.039151261,0.605210743,-0.631112912,-1.015465797,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,2,0.517758551,0.600577523,0.728978558,-0.202338132,1.105123953,-0.508426175,-0.233307508,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,5,0.191362326,-1.173289259,-1.88495043,-0.268198876,-0.256708584,-1.183203225,0.492982331,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6,5,-0.080634528,-0.218370666,0.307715535,-0.026709483,-0.722145021,0.902471293,0.995798374,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,6,0.191362326,-1.173289259,-1.88495043,-0.268198876,-0.256708584,-1.244546593,0.772324577,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,6,0.300161067,-0.399664539,-0.241863237,1.246598226,0.329396558,-0.753799648,1.27514062,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,6,0.136962955,0.492738925,0.215715564,0.346501397,-0.118801492,-0.079022598,0.492982331,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,6,0.082563584,-0.119909338,0.366627797,-0.707270499,0.777594609,-1.36723333,-0.736123551,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,4,-0.171300146,-0.326209263,0.631329466,-0.926806311,-0.187755038,1.209188134,-1.51828184,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,4,-1.223021315,-1.607769405,-2.089125803,-1.409785097,-1.066912752,0.227694243,-1.238939594,-0.07326831,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,4,-3.924856732,-1.695290586,-2.148441573,-1.82690314,-0.256708584,-1.244546593,0.772324577,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,4,0.136962955,0.492738925,0.215715564,0.346501397,-1.256535004,2.620085602,0.269508534,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,0.136962955,0.492738925,0.215715564,0.346501397,0.157012693,-0.324396071,0.772324577,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,0.136962955,0.492738925,0.215715564,0.346501397,0.157012693,-0.324396071,0.772324577,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,-0.334498259,0.569319958,0.268575197,-0.004755902,-0.773860181,1.33187487,0.772324577,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,4,0.753489157,-0.040202548,0.400119014,1.751530593,0.208727853,-0.263052703,-0.009833712,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,4,0.336427315,0.159845864,0.510276874,-0.092570226,0.898263315,-0.937829753,0.269508534,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,4,-1.54941754,-1.674973169,-2.173459109,-1.343924354,-2.342553357,2.067995288,-0.512649754,-0.07326831,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,5,-0.860358843,-1.42803841,-1.979774961,-1.365877935,-1.066912752,0.473067715,1.27514062,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5,0.136962955,-1.252996049,-1.911178492,-0.334059619,-0.118801492,-0.937829753,-0.512649754,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,5,-0.080634528,-0.176172954,0.33596114,-0.597502594,0.432826878,-0.69245628,-0.512649754,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5,0.336427315,-0.357466827,0.607925965,-0.421873944,0.243204626,0.043664138,-0.512649754,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
4,5,-0.370764506,-0.298077455,0.653522442,-0.421873944,-0.256708584,0.718441188,0.772324577,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,4,-0.860358843,-1.42803841,-1.979774961,-1.365877935,-0.894528887,-0.079022598,0.995798374,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,4,0.191362326,-1.212361215,-1.898266215,-0.004755902,-0.015371173,-1.612606802,0.269508534,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,4,-0.171300146,-0.326209263,0.631329466,-0.926806311,0.674164289,-0.324396071,-0.233307508,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,4,0.209495449,-0.505940259,0.711627686,0.039151261,0.001867214,-0.569769543,-0.736123551,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3,4,-0.461430124,-1.33113996,-1.938213571,-1.146342123,-0.532522769,-1.060516489,2.00143046,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,5,-0.461430124,-1.33113996,-1.938213571,-1.146342123,-0.584237929,-1.060516489,1.27514062,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,4,0.191362326,-1.173289259,-1.88495043,-0.268198876,-1.256535004,-0.876486384,1.27514062,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,4,0.191362326,-1.173289259,-1.88495043,-0.268198876,-0.635953088,-1.060516489,0.492982331,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,4,-0.098767652,-1.112337009,-1.861546928,-0.619456175,-1.42891887,-0.876486384,-0.009833712,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,4,0.427092933,-0.555952362,-0.328214086,-0.290152457,0.12253592,-0.508426175,-0.512649754,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,0.155096078,0.539625272,0.243154152,0.368454979,-1.480634029,1.822621815,-1.015465797,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,4,0.155096078,0.539625272,0.243154152,0.368454979,-0.308423744,-0.079022598,0.772324577,-0.07326831,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,4,0.318294191,0.206732211,0.535697918,-0.114523807,0.62244913,-0.140365966,0.772324577,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,4,-1.132355697,-0.585647048,0.500189157,-1.27806361,-0.170516651,0.043664138,-0.512649754,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,4,0.662823539,-0.402790296,0.582504921,1.5100412,0.157012693,0.350380979,0.772324577,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,4,0.354560438,-1.00606129,0.580487377,-0.048663064,0.294919785,-1.244546593,0.772324577,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,5,-0.552095742,-0.916977231,-1.792143442,-0.882899149,-1.704733054,0.289037611,-1.015465797,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,5,0.517758551,0.600577523,0.728978558,-0.202338132,-0.291185357,-0.079022598,-0.512649754,-0.07326831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,5,0.136962955,-1.140468817,0.507855822,-0.838991987,-0.515284382,0.105007506,-0.233307508,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,5,0.354560438,-1.00606129,0.580487377,-0.048663064,-0.601476315,-0.569769543,-1.741755637,-0.07326831,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4,6,-4.069921721,-1.396780845,-1.859125877,-1.804949559,-0.601476315,-0.263052703,-0.736123551,-0.07326831,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,6,-0.624628236,-1.359271768,-1.949915321,-1.08048138,-0.842813727,-0.324396071,-0.512649754,-0.07326831,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
